"Updated date","Created date","userid","bcontestaryn_inicio.p4","bleaesto_inicio.p4","volverinicio_clickaqui.p4","ps_instrucciones.p4","cm_instrucciones.p4","volverinicio_instrucciones.p4","cm_contestar.p4","y_contestar.p4","n_contestar.p4","perfil1_inicio.p4","ps_saludable.p4","cm_saludable.p4","pg_saludable.p4","gf_saludable.p4","volverinicio_saludable_p4","perfil2_inicio.p4","ps_sinsalud.p4","cm_sinsalud.p4","volveratras_ps.p4","volveratras_cm.p4","volveratras_gf.p4","perfil4_inicio.p4","volverinicio_sinsalud.p4","volverinicio_saludable.p4","volveratras_difmodmix.p4","volverinicio_heahorrado.p4","gf_heahorrado.p4","perfil3_inicio.p4","difmodmix_heahorrado.p4","cm_heahorrado.p4","ps_heahorrado.p4","volveratras_ctiempo.p4","cm_novoyavivir.p4","bcontestaryn_masinfo.p4","gf_novoyavivir.p4","ps_novoyavivir.p4","ctiempo_novoyavivir.p4","gf_masinfo.p4","bleaesto_masinfo.p4","ctiempo_masinfo.p4","volverinicio_masinfo.p4","pg_masinfo.p4","cm_masinfo.p4","ps_masinfo.p4","difmodmix_masinfo.p4","ctiempo_sinsalud.p4","gf_sinsalud.p4","volveratras_pg.p4","volverinicio_contestar.p4","cm_clickaqui.p4","ps_contestar.p4","inicio_wix.p4","gf_clickaqui.p4","bcontestaryn_sinsalud.p4","bcontestaryn_saludable.p4","bcontestaryn_novoyavivir.p4","bcontestaryn_heahorrado.p4"
2022-07-30T15:44:24Z,2022-07-30T15:33:41Z,"2665-2-4-63-0",,,,,,,,"2022-07-30 11:45:00",,,,,,,,"2022-07-30 11:34:48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-30 11:39:17",,,,,"2022-07-30 11:34:17 ; 2022-07-30 11:34:28",,"2022-07-30 11:44:08",,,
2022-07-30T02:07:18Z,2022-07-30T02:03:22Z,"540-2-4-57-0","2022-07-29 22:07:05","2022-07-29 22:03:46",,,,,,"2022-07-29 22:07:16",,,,,,,,,,,,,,,,,,,,"2022-07-29 22:05:26",,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 22:03:20 ; 2022-07-29 22:03:43 ; 2022-07-29 22:04:57 ; 2022-07-29 22:05:17 ; 2022-07-29 22:06:48",,,,,
2022-07-31T14:37:05Z,2022-07-31T14:19:37Z,"4580-2-4-62-0","2022-07-31 10:32:07","2022-07-31 10:19:39",,,,,,"2022-07-31 10:37:04",,"2022-07-31 10:27:22",,"2022-07-31 10:27:48","2022-07-31 10:29:59",,,"2022-07-31 10:20:21",,,"2022-07-31 10:36:58","2022-07-31 10:28:12","2022-07-31 10:26:56",,,,,,"2022-07-31 10:23:51",,,,,,,,,,,,,,,,,,,,,,,,"2022-07-31 10:32:19","2022-07-31 10:19:36 ; 2022-07-31 10:19:59 ; 2022-07-31 10:27:14 ; 2022-07-31 10:27:21 ; 2022-07-31 10:32:02",,,,,
2022-07-29T18:21:44Z,2022-07-29T18:17:46Z,"5348-1-4-67-0",,,,,,,,"2022-06-29 14:21:43",,,,,,,,"2022-07-29 14:18:18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 14:17:45",,,,,"2022-06-29 14:21:34"
2022-07-29T14:13:10Z,2022-07-29T14:04:28Z,"8435-2-4-60-0","2022-07-29 10:06:42","2022-07-29 10:05:34",,,,,"2022-06-29 10:07:19","2022-06-29 10:13:08",,"2022-07-29 10:04:46",,,,,,,,,"2022-06-29 10:13:04","2022-06-29 10:10:44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-29 10:10:49","2022-07-29 10:04:26 ; 2022-07-29 10:05:32 ; 2022-07-29 10:06:31",,,,,
2022-08-02T01:40:25Z,2022-08-02T01:34:25Z,"8063-2-4-51-0",,"2022-08-01 21:37:04",,,,,,"2022-08-01 21:40:23",,,,,,,,"2022-08-01 21:39:07",,,,"2022-08-01 21:38:44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-01 21:37:59",,"2022-08-01 21:34:24 ; 2022-08-01 21:36:58 ; 2022-08-01 21:38:50",,"2022-08-01 21:40:09",,,
2022-07-29T13:18:09Z,2022-07-29T13:17:59Z,"6785-1-4-56-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 09:17:58 ; 2022-07-29 09:18:08",,,,,
2022-07-29T20:04:32Z,2022-07-29T19:53:37Z,"9478-1-4-54-0",,,,,,,,"2022-06-29 16:04:31",,,,,,,,"2022-07-29 16:03:41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 15:53:34",,"2022-06-29 16:04:19",,,
2022-07-29T17:22:25Z,2022-07-29T17:19:00Z,"4120-2-4-52-0",,"2022-07-29 13:19:15",,,,,,"2022-06-29 13:22:24",,"2022-07-29 13:20:41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 13:18:58 ; 2022-07-29 13:19:09 ; 2022-07-29 13:20:39",,,"2022-06-29 13:22:07",,
2022-07-28T22:02:06Z,2022-07-28T22:01:48Z,"7201-2-4-58-0",,,,,,,,"2022-06-28 18:02:05",,,,,,,,"2022-06-28 18:01:47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-28 18:02:02",,,
2022-07-28T17:30:10Z,2022-07-28T17:28:25Z,"9547-1-4-68-0",,,,,,,,"2022-06-28 13:30:09",,,,,,,,,,,"2022-06-28 13:29:24","2022-06-28 13:29:55",,"2022-06-28 13:28:33",,,,,,,,,,,"2022-06-28 13:29:34",,,"2022-06-28 13:29:15",,,,,,,,,,,,,,,,"2022-06-28 13:28:23",,,,"2022-06-28 13:30:00",
2022-07-29T14:32:51Z,2022-07-29T14:23:27Z,"4292-1-4-59-0",,"2022-07-29 10:23:49",,,,,,,,"2022-07-29 10:24:00 ; 2022-07-29 10:31:48","2022-06-29 10:32:01",,,,,,,,"2022-06-29 10:32:22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 10:23:26 ; 2022-07-29 10:23:55 ; 2022-07-29 10:24:21 ; 2022-07-29 10:24:29",,,"2022-06-29 10:32:50",,
2022-07-29T16:46:28Z,2022-07-29T16:43:35Z,"6390-1-4-60-0",,,,,,"2022-06-29 12:43:53",,"2022-06-29 12:46:27",,,,,,,,"2022-07-29 12:44:12",,,"2022-06-29 12:45:28","2022-06-29 12:45:54",,,,,,,,,,"2022-06-29 12:45:33","2022-06-29 12:44:58",,,,,,,,,,,,,,,,,,,,,"2022-07-29 12:43:35 ; 2022-07-29 12:43:54",,,,,"2022-06-29 12:46:14"
2022-08-01T13:11:49Z,2022-08-01T13:11:21Z,"2781-1-4-53-0",,,,,,,,"2022-08-01 09:11:47",,"2022-08-01 09:11:26","2022-08-01 09:11:33",,,,,,,,"2022-08-01 09:11:37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-01 09:11:19",,,"2022-08-01 09:11:43",,
2022-08-02T15:29:27Z,2022-08-02T14:51:41Z,"528-2-4-51-0",,"2022-08-02 10:51:42",,,,,,"2022-08-02 11:29:24",,"2022-08-02 10:57:26",,,"2022-08-02 11:00:41",,,"2022-08-02 11:19:08",,,,"2022-08-02 10:54:51","2022-08-02 10:56:48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-02 10:52:31",,"2022-08-02 10:51:38 ; 2022-08-02 10:56:54 ; 2022-08-02 10:57:11 ; 2022-08-02 10:57:24 ; 2022-08-02 11:19:05","2022-08-02 10:54:57",,,,"2022-08-02 11:29:02"
2022-07-29T14:44:31Z,2022-07-29T14:43:37Z,"4238-1-4-55-0","2022-07-29 10:44:22","2022-07-29 10:43:41","2022-06-29 10:43:47",,,,,"2022-06-29 10:44:28",,,,,,,,,,,,,,,,,,,,"2022-07-29 10:44:03",,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 10:43:34 ; 2022-07-29 10:43:49 ; 2022-07-29 10:44:20",,,,,
2022-08-01T15:37:59Z,2022-07-29T15:30:30Z,"3734-2-4-55-0",,,,,,,,"2022-07-01 11:37:59",,,,,,,,,,,,,,,,,,,,"2022-08-01 11:37:38",,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 11:30:28",,,,,"2022-07-01 11:37:54"
2022-07-30T00:04:07Z,2022-07-29T23:50:06Z,"1618-2-4-53-0",,,,,,,,"2022-07-29 19:51:10",,"2022-07-29 19:50:15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 19:50:04 ; 2022-07-29 19:50:13 ; 2022-07-29 20:04:06",,,"2022-07-29 19:50:53",,
2022-08-02T12:41:53Z,2022-08-02T12:10:47Z,"4584-2-4-54-0",,"2022-08-02 08:11:20","2022-08-02 08:24:19",,,,,"2022-08-02 08:41:52",,,,,,,,"2022-08-02 08:24:42",,,,"2022-08-02 08:18:37","2022-08-02 08:24:16","2022-08-02 08:37:02",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-02 08:12:48",,"2022-08-02 08:10:46 ; 2022-08-02 08:24:19 ; 2022-08-02 08:36:48","2022-08-02 08:18:41",,,"2022-08-02 08:40:31",
2022-07-29T16:10:13Z,2022-07-29T16:07:36Z,"3320-1-4-68-0",,"2022-07-29 12:07:39","2022-06-29 12:08:16",,,,,"2022-06-29 12:10:13",,"2022-07-29 12:08:38","2022-06-29 12:09:17","2022-06-29 12:09:36",,,,,,,"2022-06-29 12:09:26","2022-06-29 12:09:48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 12:07:35 ; 2022-07-29 12:08:17",,,"2022-06-29 12:09:55",,
2022-08-01T14:48:53Z,2022-08-01T14:44:25Z,"6732-2-4-58-0",,"2022-08-01 10:44:42","2022-08-01 10:45:52",,,,,"2022-08-01 10:48:27",,"2022-08-01 10:46:18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-01 10:43:59 ; 2022-08-01 10:44:40 ; 2022-08-01 10:45:52 ; 2022-08-01 10:46:16",,,"2022-08-01 10:48:15",,
2022-07-29T01:31:00Z,2022-07-29T01:01:04Z,"148-2-4-55-0",,,,,,,,"2022-06-28 21:13:11",,,,,,,,"2022-07-28 21:03:00",,,,"2022-06-28 21:09:27",,,,,,,,,,"2022-06-28 21:03:37",,,,,,,,,,,,,,,,,,,,,,"2022-07-28 21:02:27 ; 2022-07-28 21:02:52",,,,,"2022-06-28 21:12:26 ; 2022-06-28 21:32:23"
2022-07-31T01:11:45Z,2022-07-31T00:59:15Z,"77-1-4-63-0","2022-07-30 21:02:22","2022-07-30 21:01:00",,,,,"2022-07-30 21:02:40","2022-07-30 21:11:44",,,,,,,,,,,"2022-07-30 21:11:37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-30 21:06:17","2022-07-30 20:59:14 ; 2022-07-30 21:00:57 ; 2022-07-30 21:02:06",,,,,
2022-07-30T02:12:55Z,2022-07-28T02:27:53Z,"6672-2-4-59-0",,,,,,,,"2022-06-27 22:39:12 ; 2022-07-29 21:47:43",,"2022-06-27 22:27:52","2022-06-27 22:34:20",,,,,"2022-07-29 21:28:21",,,"2022-06-27 22:37:27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 22:12:52",,,"2022-07-29 21:28:04 ; 2022-07-29 22:12:53",,,"2022-06-27 22:37:39",,"2022-07-29 21:47:25"
2022-07-30T00:50:58Z,2022-07-30T00:08:53Z,"4646-1-4-63-0","2022-07-29 20:46:32","2022-07-29 20:09:44",,"2022-07-29 20:45:09",,"2022-07-29 20:45:52",,"2022-07-29 20:46:44",,"2022-07-29 20:11:16 ; 2022-07-29 20:45:58",,"2022-07-29 20:16:53 ; 2022-07-29 20:46:18",,,,"2022-07-29 20:49:12","2022-07-29 20:51:19",,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 20:40:31",,,,,,,,,,,,"2022-07-29 20:09:14 ; 2022-07-29 20:09:41 ; 2022-07-29 20:10:51 ; 2022-07-29 20:45:52 ; 2022-07-29 20:46:28 ; 2022-07-29 20:49:04 ; 2022-07-29 20:49:08",,,,,
2022-07-31T16:50:00Z,2022-07-31T16:46:19Z,"4744-2-4-67-0",,,,,,,,"2022-07-31 12:49:59",,"2022-07-31 12:48:10",,,,,,"2022-07-31 12:46:36",,,,,,,,,,"2022-07-31 12:48:02",,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-31 12:46:18 ; 2022-07-31 12:48:02",,,"2022-07-31 12:49:45",,
2022-07-29T14:20:37Z,2022-07-29T14:16:18Z,"363-1-4-63-0",,,,,,,,"2022-06-29 10:20:36",,"2022-07-29 10:16:38",,"2022-06-29 10:17:02 ; 2022-06-29 10:19:28",,,,,,,,"2022-06-29 10:19:24 ; 2022-06-29 10:19:33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 10:16:17",,,"2022-06-29 10:20:15",,
2022-07-30T19:15:50Z,2022-07-30T19:01:27Z,"7001-1-4-59-0",,,,,,,,,"2022-07-30 15:15:47","2022-07-30 15:01:46","2022-07-30 15:05:35","2022-07-30 15:12:41","2022-07-30 15:10:29","2022-07-30 15:07:59",,,,,"2022-07-30 15:07:43","2022-07-30 15:14:40","2022-07-30 15:10:22",,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-30 15:12:35",,,,"2022-07-30 15:01:24 ; 2022-07-30 15:01:44",,,"2022-07-30 15:14:49",,
2022-08-01T13:19:48Z,2022-08-01T13:18:13Z,"3711-1-4-54-0",,"2022-08-01 09:19:02",,,,"2022-08-01 09:19:13",,"2022-08-01 09:19:47",,"2022-08-01 09:19:16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-01 09:18:12 ; 2022-08-01 09:19:14",,,"2022-08-01 09:19:39",,
2022-08-01T19:05:05Z,2022-08-01T17:50:17Z,"7363-1-4-70-0",,,,,,,,"2022-08-01 15:10:13 ; 2022-08-01 16:05:03",,,,,,,,"2022-08-01 14:51:26",,,"2022-08-01 15:09:15","2022-08-01 14:55:48 ; 2022-08-01 14:58:24 ; 2022-08-01 15:00:19",,,,,,,,,,"2022-08-01 14:52:03 ; 2022-08-01 14:55:56 ; 2022-08-01 14:58:28","2022-08-01 15:03:42",,,,,,,,,,,,,,,,,,,,,"2022-08-01 14:50:15 ; 2022-08-01 14:50:49",,,,,"2022-08-01 15:09:47"
2022-07-29T15:03:28Z,2022-07-29T14:56:20Z,"8389-2-4-58-0",,"2022-07-29 10:56:31","2022-06-29 11:00:11",,,,,"2022-06-29 11:03:26",,,,,,,,,,,"2022-06-29 11:02:51","2022-06-29 10:58:24","2022-06-29 11:00:07","2022-07-29 11:00:28",,,,,,,,,,,,,,"2022-06-29 11:01:24",,,,,,,,,,,,,,"2022-06-29 10:56:57",,"2022-07-29 10:56:19 ; 2022-07-29 11:00:11","2022-06-29 10:58:35",,,"2022-06-29 11:03:03",
2022-07-29T20:17:10Z,2022-07-29T20:15:40Z,"3947-1-4-52-0",,,,,,,,"2022-06-29 16:19:04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 16:17:34 ; 2022-07-29 16:17:43",,,"2022-06-29 16:18:41",,
2022-08-01T14:24:18Z,2022-08-01T14:22:08Z,"1066-1-4-57-0",,"2022-08-01 10:22:08",,,,,,"2022-08-01 10:24:16",,"2022-08-01 10:22:32","2022-08-01 10:23:01","2022-08-01 10:23:29",,,,,,,"2022-08-01 10:23:24","2022-08-01 10:24:03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-01 10:22:06 ; 2022-08-01 10:22:26",,,"2022-08-01 10:24:08",,
2022-07-29T21:53:23Z,2022-07-29T21:52:19Z,"1180-1-4-75-0",,"2022-07-29 17:52:40","2022-07-29 17:53:17",,,,,,,"2022-07-29 17:53:25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 17:52:22 ; 2022-07-29 17:53:18",,,,,
2022-07-29T19:25:32Z,2022-07-29T19:21:55Z,"1265-1-4-59-0",,"2022-07-29 15:21:59","2022-06-29 15:22:40",,,,,"2022-06-29 15:25:33",,,,,,,,,,,,"2022-06-29 15:24:22",,,,,,,,"2022-07-29 15:22:57",,"2022-06-29 15:23:07",,,,,,,,,,,,,,,,,,,,,,"2022-07-29 15:21:56 ; 2022-07-29 15:22:41",,,,,"2022-06-29 15:25:11"
2022-07-30T22:51:34Z,2022-07-30T22:50:06Z,"4015-1-4-57-0",,"2022-07-30 18:50:19","2022-07-30 18:50:25",,,,,"2022-07-30 18:51:36",,"2022-07-30 18:50:31","2022-07-30 18:50:46",,,,,,,,"2022-07-30 18:50:56","2022-07-30 18:51:15",,,,,,,,"2022-07-30 18:51:01",,,,,,,,,,,,,,,,,,,,,,,,"2022-07-30 18:50:09 ; 2022-07-30 18:50:26 ; 2022-07-30 18:51:00",,,,,"2022-07-30 18:51:10"
2022-07-29T14:07:04Z,2022-07-29T13:52:47Z,"3589-2-4-62-0",,,,,,,,"2022-06-29 10:07:03",,,,,,,,,,,,,"2022-06-29 10:06:14","2022-07-29 09:53:39",,,,,,,,,,"2022-06-29 10:01:01",,,"2022-06-29 10:02:07",,"2022-06-29 09:57:54",,,,,,,,,,,,,,,"2022-07-29 09:52:45 ; 2022-07-29 09:53:04 ; 2022-07-29 09:53:24",,,,"2022-06-29 10:06:30",
2022-07-29T13:25:37Z,2022-07-29T13:25:25Z,"1534-1-4-60-0","2022-07-29 09:25:29",,,,,,,"2022-06-29 09:25:37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 09:25:24",,,,,
2022-07-29T14:12:00Z,2022-07-29T14:09:32Z,"2343-1-4-58-0","2022-07-29 10:13:10","2022-07-29 10:10:56",,,,,,"2022-06-29 10:13:18",,"2022-07-29 10:12:03",,,,,,"2022-07-29 10:12:49",,,,,,,,"2022-06-29 10:12:27",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 10:10:50 ; 2022-07-29 10:11:38 ; 2022-07-29 10:12:00 ; 2022-07-29 10:12:28 ; 2022-07-29 10:13:05",,,,,
2022-08-01T20:23:15Z,2022-08-01T20:22:11Z,"749-2-4-51-0",,,,,,,,"2022-08-01 16:23:14",,,,,,,,"2022-08-01 16:22:32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-01 16:22:08 ; 2022-08-01 16:22:22",,,,,"2022-08-01 16:23:06"
2022-07-30T04:19:03Z,2022-07-30T04:17:15Z,"5124-1-4-58-0",,,,,,,,"2022-07-30 00:19:03",,"2022-07-30 00:17:21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-30 00:17:16 ; 2022-07-30 00:17:19",,,"2022-07-30 00:18:43",,
2022-07-29T15:29:44Z,2022-07-29T15:24:19Z,"4790-1-4-59-0",,"2022-07-29 11:24:32","2022-06-29 11:25:05",,,"2022-06-29 11:25:56",,"2022-06-29 11:29:43",,"2022-07-29 11:26:11",,"2022-06-29 11:29:00",,,,,,,,"2022-06-29 11:29:22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 11:24:18 ; 2022-07-29 11:25:06 ; 2022-07-29 11:25:57",,,"2022-06-29 11:29:27",,
2022-07-27T21:36:38Z,2022-07-27T21:36:25Z,"4392-2-4-67-0","2022-06-27 17:36:27",,,,,,,"2022-06-27 17:36:37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-27 17:36:24",,,,,
2022-08-02T04:02:44Z,2022-08-02T04:01:22Z,"6265-2-4-56-0",,"2022-08-02 00:01:23",,,,,,"2022-08-02 00:02:44",,,,,,,,,,,,,,"2022-08-02 00:01:48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-02 00:01:21 ; 2022-08-02 00:01:39",,,,"2022-08-02 00:02:40",
2022-07-29T20:08:42Z,2022-07-29T20:05:03Z,"9211-2-4-60-0","2022-07-29 16:07:29","2022-07-29 16:05:03","2022-06-29 16:07:10",,,,,"2022-06-29 16:08:39",,,,,,,,,,,,"2022-06-29 16:07:08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-29 16:05:57",,"2022-07-29 16:05:00 ; 2022-07-29 16:07:11",,,,,
2022-07-29T13:49:07Z,2022-07-29T13:48:35Z,"3747-1-4-71-0",,,,,,,,"2022-06-29 09:49:04",,"2022-07-29 09:48:41 ; 2022-07-29 09:48:42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 09:48:32",,,"2022-06-29 09:48:54",,
2022-07-31T23:26:00Z,2022-07-31T23:21:48Z,"4591-1-4-61-0",,"2022-07-31 19:22:53","2022-07-31 19:23:20",,,"2022-07-31 19:22:48",,,,"2022-07-31 19:23:42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-31 19:21:44 ; 2022-07-31 19:22:49 ; 2022-07-31 19:23:21",,,"2022-07-31 19:25:47",,
2022-08-01T15:12:37Z,2022-08-01T14:59:03Z,"1811-1-4-51-0",,,,,,,,"2022-08-01 10:59:38","2022-08-01 11:12:35","2022-08-01 10:59:22",,,,,,,,,,,,,,,,,,,,,,,,"2022-08-01 11:12:27",,,,,,,,,,,,,,,,,,"2022-08-01 10:59:01 ; 2022-08-01 10:59:18 ; 2022-08-01 11:12:07",,,"2022-08-01 10:59:32",,
2022-07-29T23:21:53Z,2022-07-29T23:13:55Z,"6373-1-4-55-0",,"2022-07-29 19:14:02","2022-07-29 19:15:12",,,,,"2022-07-29 19:21:52",,,,,,,,"2022-07-29 19:16:40",,"2022-07-29 19:20:41 ; 2022-07-29 19:20:54",,"2022-07-29 19:20:52 ; 2022-07-29 19:21:04","2022-07-29 19:20:33",,,,"2022-07-29 19:16:21",,,,,,,,,,,,,,,,,,,,"2022-07-29 19:15:33",,"2022-07-29 19:19:07",,,,,"2022-07-29 19:13:54 ; 2022-07-29 19:15:13 ; 2022-07-29 19:15:23 ; 2022-07-29 19:16:24",,"2022-07-29 19:21:14",,,
